학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수
ICT폴리텍대학,사립,경기,374375000,149025000,660275000,전문대학,0,2500000.0,14,28200000,2,2500000,29,63048936,7,8115000,25700000,54933936,80633936,10615000,91248936,43
가야대학교(김해),사립,경남,4807751626,581204200,6731889810,대학,0,7446294.0,215,720264300,151,438764300,367,1082848700,188,514248700,281500000,568600000,850100000,953013000,1803113000,582
가천대학교,사립,경기,45910606313,9851371080,77843265838,대학,0,9094425.6,2789,11087930475,2278,8206430475,2765,8452095398,1838,4953349976,2881500000,3498745422,6380245422,13159780451,19540025873,5554
가톨릭관동대학교,사립,강원,16176594266,914893269,21628812317,대학,0,7725838.9,654,2169762400,475,1380162400,1134,3194155079,624,1484670726,789600000,1709484353,2499084353,2864833126,5363917479,1788
가톨릭꽃동네대학교,사립,충북,1297783541,102870500,1998417415,대학,0,7468777.8,40,132023700,29,82023700,83,235984685,45,115434685,50000000,120550000,170550000,197458385,368008385,123
가톨릭대학교,사립,경기,17886024287,2424326980,28695616841,대학,0,7963851.9,1785,8289095160,1544,6696795160,1327,3977474059,775,2181006119,1592300000,1796467940,3388767940,8877801279,12266569219,3112
가톨릭상지대학교,사립,경북,5257535213,26691000,7148534417,전문대학,0,6122698.4,183,469955900,90,195455900,362,897124634,161,343274634,274500000,553850000,828350000,538730534,1367080534,545
감리교신학대학교,사립,서울,2410494708,40670000,2886603070,대학,0,6941350.0,352,1438306950,316,1048706950,236,749815390,158,413365390,389600000,336450000,726050000,1462072340,2188122340,588
강남대학교,사립,경기,16109316042,1946189837,22201126913,대학,0,8206173.1,956,3655287000,801,2685337000,975,2957169351,599,1683081719,969950000,1274087632,2244037632,4368418719,6612456351,1931
강동대학교,사립,충북,10290339482,214737453,13231413683,전문대학,0,6087118.9,392,1140415000,237,565115000,572,1704608889,370,849308889,575300000,855300000,1430600000,1414423889,2845023889,964
강릉영동대학교,사립,강원,6333028966,0,8965802818,전문대학,0,6161215.3,198,589112830,136,362512830,503,1405198920,296,642644750,226600000,762554170,989154170,1005157580,1994311750,701
강서대학교,사립,서울,3481755480,606409850,5602164367,대학,0,7933023.5,178,617718750,145,449168750,269,854073585,196,488623585,168550000,365450000,534000000,937792335,1471792335,447
강원대학교,국공립,강원,39134403214,2286402600,57280056940,대학,0,4231664.8,2157,6140193010,1316,3113343010,3014,6967534246,984,1940558971,3026850000,5026975275,8053825275,5053901981,13107727256,5171
강원도립대학교,국공립,강원,1266491800,15837000,1896626865,전문대학,0,2347981.6,35,67000000,9,10500000,42,80599000,4,4599000,56500000,76000000,132500000,15099000,147599000,77
거제대학교,사립,경남,3749415704,311667200,4940098485,전문대학,0,6720853.1,102,267734690,48,137634690,194,520645405,83,201395405,130100000,319250000,449350000,339030095,788380095,296
건국대학교,사립,서울,48692744708,9202654517,83072559273,대학,0,8935134.0,5213,26297771400,4329,20499421400,3649,11708385965,1905,6385635562,5798350000,5322750403,11121100403,26885056962,38006157365,8862
