학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
ICT폴리텍대학,사립,경기,374375000,149025000,660275000,91248936,10615000,80633936,43
가야대학교(김해),사립,경남,4807751626,581204200,6731889810,1803113000,953013000,850100000,582
가천대학교,사립,경기,45910606313,9851371080,77843265838,19540025873,13159780451,6380245422,5554
가톨릭관동대학교,사립,강원,16176594266,914893269,21628812317,5363917479,2864833126,2499084353,1788
가톨릭꽃동네대학교,사립,충북,1297783541,102870500,1998417415,368008385,197458385,170550000,123
가톨릭대학교,사립,경기,17886024287,2424326980,28695616841,12266569219,8877801279,3388767940,3112
가톨릭상지대학교,사립,경북,5257535213,26691000,7148534417,1367080534,538730534,828350000,545
감리교신학대학교,사립,서울,2410494708,40670000,2886603070,2188122340,1462072340,726050000,588
강남대학교,사립,경기,16109316042,1946189837,22201126913,6612456351,4368418719,2244037632,1931
강동대학교,사립,충북,10290339482,214737453,13231413683,2845023889,1414423889,1430600000,964
강릉영동대학교,사립,강원,6333028966,0,8965802818,1994311750,1005157580,989154170,701
강서대학교,사립,서울,3481755480,606409850,5602164367,1471792335,937792335,534000000,447
강원대학교,국공립,강원,39134403214,2286402600,57280056940,13107727256,5053901981,8053825275,5171
강원도립대학교,국공립,강원,1266491800,15837000,1896626865,147599000,15099000,132500000,77
거제대학교,사립,경남,3749415704,311667200,4940098485,788380095,339030095,449350000,296
건국대학교,사립,서울,48692744708,9202654517,83072559273,38006157365,26885056962,11121100403,8862
건양대학교,사립,충남,17596012686,1518271500,26621412694,4822286668,2299279338,2523007330,1766
건양사이버대학교,사립,대전,8235644052,12376500,9895117834,1383522125,296509200,1087012925,654
경기과학기술대학교,사립,경기,12717373998,61622960,16092637039,3152588302,1721712268,1430876034,1073
경기대학교,사립,경기,33310345110,5454261200,51811828645,16597985533,11287552513,5310433020,4577
경남대학교,사립,경남,23504388931,822379980,33880956270,7003572646,3234317512,3769255134,2551
경남도립거창대학,국공립,경남,1661598020,844743000,2709976215,199986000,31086000,168900000,99
경남정보대학교,사립,부산,19602123639,51696600,23249099612,4685575887,1695309374,2990266513,1904
경동대학교,사립,강원,17844352020,3458940646,31317089896,8126140249,5318118569,2808021680,2394
경민대학교,사립,경기,14509519052,359940000,18568000000,3677628304,1915042373,1762585931,1345
경복대학교,사립,경기,20082115359,2141185000,26444496981,5694871056,2987754376,2707116680,2015
경북과학대학교,사립,경북,6800971822,32631700,8963885865,919620100,349420100,570200000,355
