학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액
ICT폴리텍대학,사립,경기,전문대학,2500000.0,660275000,43,91248936,10615000
가야대학교(김해),사립,경남,대학,7446294.0,6731889810,582,1803113000,953013000
가천대학교,사립,경기,대학,9094425.6,77843265838,5554,19540025873,13159780451
가톨릭관동대학교,사립,강원,대학,7725838.9,21628812317,1788,5363917479,2864833126
가톨릭꽃동네대학교,사립,충북,대학,7468777.8,1998417415,123,368008385,197458385
가톨릭대학교,사립,경기,대학,7963851.9,28695616841,3112,12266569219,8877801279
가톨릭상지대학교,사립,경북,전문대학,6122698.4,7148534417,545,1367080534,538730534
감리교신학대학교,사립,서울,대학,6941350.0,2886603070,588,2188122340,1462072340
강남대학교,사립,경기,대학,8206173.1,22201126913,1931,6612456351,4368418719
강동대학교,사립,충북,전문대학,6087118.9,13231413683,964,2845023889,1414423889
강릉영동대학교,사립,강원,전문대학,6161215.3,8965802818,701,1994311750,1005157580
강서대학교,사립,서울,대학,7933023.5,5602164367,447,1471792335,937792335
강원대학교,국공립,강원,대학,4231664.8,57280056940,5171,13107727256,5053901981
강원도립대학교,국공립,강원,전문대학,2347981.6,1896626865,77,147599000,15099000
거제대학교,사립,경남,전문대학,6720853.1,4940098485,296,788380095,339030095
건국대학교,사립,서울,대학,8935134.0,83072559273,8862,38006157365,26885056962
건양대학교,사립,충남,대학,7429363.0,26621412694,1766,4822286668,2299279338
건양사이버대학교,사립,대전,대학,2537763.9,9895117834,654,1383522125,296509200
경기과학기술대학교,사립,경기,전문대학,6933951.9,16092637039,1073,3152588302,1721712268
경기대학교,사립,경기,대학,8003495.9,51811828645,4577,16597985533,11287552513
경남대학교,사립,경남,대학,7060677.8,33880956270,2551,7003572646,3234317512
경남도립거창대학,국공립,경남,전문대학,2859245.1,2709976215,99,199986000,31086000
경남정보대학교,사립,부산,전문대학,6732394.5,23249099612,1904,4685575887,1695309374
경동대학교,사립,강원,대학,8651314.8,31317089896,2394,8126140249,5318118569
경민대학교,사립,경기,전문대학,7081098.3,18568000000,1345,3677628304,1915042373
경복대학교,사립,경기,전문대학,7171732.1,26444496981,2015,5694871056,2987754376
경북과학대학교,사립,경북,전문대학,5745592.5,8963885865,355,919620100,349420100
경북대학교,국공립,대구,대학,4524820.1,64770483901,6735,19238999692,8948501103
경북도립대학교,국공립,경북,전문대학,2459067.8,2432986400,124,225479050,11079050
경북보건대학교,사립,경북,전문대학,5777034.0,5331441650,379,986037747,404686840
경북전문대학교,사립,경북,전문대학,6282520.8,11637361446,660,1560149059,487789300
경상국립대학교,국공립,경남,대학,4095673.4,45505989873,4271,10378466809,3680577883
